Warranty,Category,BRAND,DETAILS, ,VAT-EX (SPCL),VAT-EX (RESELLER),VAT-INC (SRP),CURRENT BUL stocks,image_url
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - ARGB LE520 WHITE,AIO - DEEPCOOL LIQUID COOLER AIO - ARGB LE520 WHITE,"₱3,400","₱3,380.00","₱3,808.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - ARGB LE520 WHITE.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LS520 SE DIGITAL BLACK,AIO - DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL BLACK,"₱4,400","₱4,380.00","₱4,928.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL BLACK.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LS520 SE DIGITAL WHITE,AIO - DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL WHITE,"₱4,700","₱4,680.00","₱5,264.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL WHITE.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LT520 BLACK,AIO - DEEPCOOL LIQUID COOLER AIO - LT520 BLACK,"₱4,650","₱4,630.00","₱5,208.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LT520 BLACK.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LT520 WHITE,AIO - DEEPCOOL LIQUID COOLER AIO - LT520 WHITE,"₱4,750","₱4,730.00","₱5,320.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LT520 WHITE.png
10MOS,AIO,THERMALRIGHT,LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK,AIO - THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK,"₱4,000","₱3,980.00","₱4,480.00",1,/images/components/cooler/THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK.png
10MOS,AIO,YGT,LIQUID COOLER AIO - DF-120 PINK,AIO - YGT LIQUID COOLER AIO - DF-120 PINK,"₱1,650","₱1,630.00","₱1,848.00",0,/images/components/cooler/YGT LIQUID COOLER AIO - DF-120 PINK.png
10MOS,AIO,YGT,LIQUID COOLER AIO - DF-120 WHITE,AIO - YGT LIQUID COOLER AIO - DF-120 WHITE,"₱1,650","₱1,630.00","₱1,848.00",1,/images/components/cooler/YGT LIQUID COOLER AIO - DF-120 WHITE.png
10MOS,AIO,OVATION,HURRICANE 240 BLACK TEMP,AIO - OVATION HURRICANE 240 BLACK TEMP,"₱2,815","₱2,765.00","₱3,152.80",1,/images/components/cooler/OVATION HURRICANE 240 BLACK TEMP.png
10MOS,AIO,OVATION,HURRICANE 240 WHITE TEMP,AIO - OVATION HURRICANE 240 WHITE TEMP,"₱2,920","₱2,900.00","₱3,270.40",1,/images/components/cooler/OVATION HURRICANE 240 WHITE TEMP.png
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 240 DIGITAL (WHITE),AIO - JUNGLE LEOPARD ASTROSHEL 240 DIGITAL (WHITE),"₱3,550","₱3,500.00","₱3,976.00",0,/images/components/cooler/JUNGLE LEOPARD ASTROSHEL 240 DIGITAL (WHITE).png
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 240 DIGITAL (BLACK),AIO - JUNGLE LEOPARD ASTROSHEL 240 DIGITAL (BLACK),"₱3,450","₱3,400.00","₱3,864.00",0,/images/components/cooler/JUNGLE LEOPARD ASTROSHEL 240 DIGITAL (BLACK).png
10MOS,AIO,JUNGLE LEOPARD,ASTROBEAT 240 DIGITAL (WHITE),AIO - JUNGLE LEOPARD ASTROBEAT 240 DIGITAL (WHITE),"₱2,850","₱2,800.00","₱3,192.00",1,/images/components/cooler/JUNGLE LEOPARD ASTROBEAT 240 DIGITAL (WHITE).png
10MOS,AIO,JUNGLE LEOPARD,ASTROBEAT 240 DIGITAL (BLACK),AIO - JUNGLE LEOPARD ASTROBEAT 240 DIGITAL (BLACK),"₱2,750","₱2,700.00","₱3,080.00",1,/images/components/cooler/JUNGLE LEOPARD ASTROBEAT 240 DIGITAL (BLACK).png
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 360 DIGITAL (BLACK),AIO - JUNGLE LEOPARD ASTROSHEL 360 DIGITAL (BLACK),"₱4,500","₱4,480.00","₱5,040.00",1,/images/components/cooler/JUNGLE LEOPARD ASTROSHEL 360 DIGITAL (BLACK).png
10MOS,AIO,JUNGLE LEOPARD,ASTROSHEL 360 DIGITAL (WHITE),AIO - JUNGLE LEOPARD ASTROSHEL 360 DIGITAL (WHITE),"₱4,600","₱4,580.00","₱5,152.00",0,/images/components/cooler/JUNGLE LEOPARD ASTROSHEL 360 DIGITAL (WHITE).png
10MOS,AIO,DEEPCOOL,MYSTIQUE 240 5TH GEN LIQUID COOLER WITH LCD SCREEN (BLACK),AIO - DEEPCOOL MYSTIQUE 240 5TH GEN LIQUID COOLER WITH LCD SCREEN (BLACK),"₱6,800","₱6,780.00","₱7,616.00",0,/images/components/cooler/DEEPCOOL MYSTIQUE 240 5TH GEN LIQUID COOLER WITH LCD SCREEN (BLACK).png
10MOS,AIO,DEEPCOOL,MYSTIQUE 360 5TH GEN LIQUID COOLER WITH LCD SCREEN (WHITE),AIO - DEEPCOOL MYSTIQUE 360 5TH GEN LIQUID COOLER WITH LCD SCREEN (WHITE),"₱8,300","₱8,280.00","₱9,296.00",0,/images/components/cooler/DEEPCOOL MYSTIQUE 360 5TH GEN LIQUID COOLER WITH LCD SCREEN (WHITE).png
10MOS,AIO,DEEPCOOL,MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),AIO - DEEPCOOL MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),"₱6,800","₱6,780.00","₱7,616.00",1,/images/components/cooler/DEEPCOOL MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK).png
10MOS,AIO,DEEPCOOL,MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (WHITE),AIO - DEEPCOOL MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (WHITE),"₱6,700","₱6,680.00","₱7,504.00",0,/images/components/cooler/DEEPCOOL MYSTIQUE 240 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (WHITE).png
10MOS,AIO,DEEPCOOL,MYSTIQUE 360 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),AIO - DEEPCOOL MYSTIQUE 360 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK),"₱8,300","₱8,280.00","₱9,296.00",0,/images/components/cooler/DEEPCOOL MYSTIQUE 360 ARGB 5TH GEN ARGB LIQUID COOLER WITH LCD SCREEN (BLACK).png
10MOS,AIO,THERMALRIGHT,LIQUID COOLER FROZEN WARFRAME 240 ARGB WHITE,AIO - THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB WHITE,"₱4,100","₱4,080.00","₱4,592.00",0,/images/components/cooler/THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB WHITE.png
1WK,CASE GAMING,ACER,V920 - BLACK,CASE GAMING - ACER V920 - BLACK,"₱1,800","₱1,770.00","₱2,016.00",0,/images/components/case gaming/ACER V920 - BLACK.png
1WK,CASE GAMING,ACER,V920 - WHITE,CASE GAMING - ACER V920 - WHITE,"₱1,900","₱1,870.00","₱2,128.00",1,/images/components/case gaming/ACER V920 - WHITE.png
1WK,CASE GAMING,ACER,V950 - BLACK,CASE GAMING - ACER V950 - BLACK,"₱2,800","₱2,770.00","₱3,136.00",1,/images/components/case gaming/ACER V950 - BLACK.png
1WK,CASE GAMING,ACER,V950 - WHITE,CASE GAMING - ACER V950 - WHITE,"₱2,900","₱2,870.00","₱3,248.00",0,/images/components/case gaming/ACER V950 - WHITE.png
1WK,CASE GAMING,COOLMAN,HARLEY - BLACK,CASE GAMING - COOLMAN HARLEY - BLACK,"₱1,300","₱1,270.00","₱1,456.00",0,/images/components/case gaming/COOLMAN HARLEY - BLACK.png
1WK,CASE GAMING,COOLMAN,REYNA M-ATX - BLACK,CASE GAMING - COOLMAN REYNA M-ATX - BLACK,"₱1,550","₱1,520.00","₱1,736.00",0,/images/components/case gaming/COOLMAN REYNA M-ATX - BLACK.png
1WK,CASE GAMING,COOLMAN,RUBY with 3fans  - WHITE,CASE GAMING - COOLMAN RUBY with 3fans  - WHITE,"₱2,100","₱2,070.00","₱2,352.00",0,/images/components/case gaming/COOLMAN RUBY with 3fans  - WHITE.png
1WK,CASE GAMING,DARKFLASH ,DK351 with 4 ARGB Fans  - WHITE,CASE GAMING - DARKFLASH  DK351 with 4 ARGB Fans  - WHITE,"₱2,400","₱2,370.00","₱2,688.00",0,/images/components/case gaming/DARKFLASH DK351 with 4 ARGB Fans  - WHITE.png
1WK,CASE GAMING,DARKFLASH ,DLH21 - BLACK,CASE GAMING - DARKFLASH  DLH21 - BLACK,"₱3,750","₱3,720.00","₱4,200.00",0,/images/components/case gaming/DARKFLASH DLH21 - BLACK.png
1WK,CASE GAMING,DARKFLASH ,DLM21 MESH - WHITE,CASE GAMING - DARKFLASH  DLM21 MESH - WHITE,"₱2,350","₱2,320.00","₱2,632.00",2,/images/components/case gaming/DARKFLASH DLM21 MESH - WHITE.png
1WK,CASE GAMING,DARKFLASH ,DLX22 - WHITE,CASE GAMING - DARKFLASH  DLX22 - WHITE,"₱3,700","₱3,680.00","₱4,144.00",0,/images/components/case gaming/DARKFLASH DLX22 - WHITE.png
1WK,CASE GAMING,DEEP COOL,CC360 ARGB WHITE,CASE GAMING - DEEP COOL CC360 ARGB WHITE,"₱2,750","₱2,730.00","₱3,080.00",0,/images/components/case gaming/DEEP COOL CC360 ARGB WHITE.png
1WK,CASE GAMING,DEEP COOL,CH160 BLACK ITX,CASE GAMING - DEEP COOL CH160 BLACK ITX,"₱2,950","₱2,950.00","₱3,304.00",0,/images/components/case gaming/DEEP COOL CH160 BLACK ITX.png
1WK,CASE GAMING,GAMDIAS,TALOS E3 MESH  - BLACK,CASE GAMING - GAMDIAS TALOS E3 MESH  - BLACK,"₱2,550","₱2,520.00","₱2,856.00",0,/images/components/case gaming/GAMDIAS TALOS E3 MESH  - BLACK.png
1WK,CASE GAMING,GAMDIAS,TALOS E3 MESH  - WHITE,CASE GAMING - GAMDIAS TALOS E3 MESH  - WHITE,"₱2,700","₱2,670.00","₱3,024.00",0,/images/components/case gaming/GAMDIAS TALOS E3 MESH  - WHITE.png
1WK,CASE GAMING,INPLAY,METEOR 3 /  ICE DRILL 1 - BLACK,CASE GAMING - INPLAY METEOR 3 /  ICE DRILL 1 - BLACK,"₱1,150","₱1,120.00","₱1,288.00",1,/images/components/case gaming/INPLAY METEOR 3 /  ICE DRILL 1 - BLACK.png
1WK,CASE GAMING,INPLAY,METEOR 3 /  ICE DRILL 1 - WHITE,CASE GAMING - INPLAY METEOR 3 /  ICE DRILL 1 - WHITE,"₱1,200","₱1,170.00","₱1,344.00",3,/images/components/case gaming/INPLAY METEOR 3 /  ICE DRILL 1 - WHITE.png
1WK,CASE GAMING,KEYTECH ,ARMOR - WHITE,CASE GAMING - KEYTECH  ARMOR - WHITE,"₱1,400","₱1,350.00","₱1,568.00",0,/images/components/case gaming/KEYTECH ARMOR - WHITE.png
1WK,CASE GAMING,KEYTECH,CUIRASS  - BLACK,CASE GAMING - KEYTECH CUIRASS  - BLACK,"₱1,350","₱1,320.00","₱1,512.00",2,/images/components/case gaming/KEYTECH CUIRASS  - BLACK.png
1WK,CASE GAMING,KEYTECH,CUIRASS  - WHITE,CASE GAMING - KEYTECH CUIRASS  - WHITE,"₱1,400","₱1,370.00","₱1,568.00",1,/images/components/case gaming/KEYTECH CUIRASS  - WHITE.png
1WK,CASE GAMING,KEYTECH,CYBORG CASE - DEMON SLAYER,CASE GAMING - KEYTECH CYBORG CASE - DEMON SLAYER,"₱2,450","₱2,420.00","₱2,744.00",0,/images/components/case gaming/KEYTECH CYBORG CASE - DEMON SLAYER.png
1WK,CASE GAMING,KEYTECH,CYBORG CASE - DRAGONBALL,CASE GAMING - KEYTECH CYBORG CASE - DRAGONBALL,"₱2,450","₱2,420.00","₱2,744.00",4,/images/components/case gaming/KEYTECH CYBORG CASE - DRAGONBALL.png
1WK,CASE GAMING,KEYTECH,CYBORG CASE - ONE PIECE WHITE W/6 PCS LED FAN,CASE GAMING - KEYTECH CYBORG CASE - ONE PIECE WHITE W/6 PCS LED FAN,"₱2,600","₱2,550.00","₱2,912.00",0,/images/components/case gaming/KEYTECH CYBORG CASE - ONE PIECE WHITE W/6 PCS LED FAN.png
1WK,CASE GAMING,KEYTECH,CYBORG CASE - ROG BLACK W/6 PCS LED FAN,CASE GAMING - KEYTECH CYBORG CASE - ROG BLACK W/6 PCS LED FAN,"₱2,350","₱2,400.00","₱2,632.00",2,/images/components/case gaming/KEYTECH CYBORG CASE - ROG BLACK W/6 PCS LED FAN.png
1WK,CASE GAMING,KEYTECH,CYBORG CASE - ROG WHITE W/6 PCS LED FAN,CASE GAMING - KEYTECH CYBORG CASE - ROG WHITE W/6 PCS LED FAN,"₱2,450","₱2,430.00","₱2,744.00",2,/images/components/case gaming/KEYTECH CYBORG CASE - ROG WHITE W/6 PCS LED FAN.png
1WK,CASE GAMING,KEYTECH,CYBORG CASE - VENOM,CASE GAMING - KEYTECH CYBORG CASE - VENOM,"₱2,450","₱2,420.00","₱2,744.00",1,/images/components/case gaming/KEYTECH CYBORG CASE - VENOM.png
1WK,CASE GAMING,KEYTECH,HEXA CASE - BLACK,CASE GAMING - KEYTECH HEXA CASE - BLACK,"₱1,350","₱1,320.00","₱1,512.00",1,/images/components/case gaming/KEYTECH HEXA CASE - BLACK.png
1WK,CASE GAMING,KEYTECH,HEXA CASE - WHITE,CASE GAMING - KEYTECH HEXA CASE - WHITE,"₱1,400","₱1,370.00","₱1,568.00",0,/images/components/case gaming/KEYTECH HEXA CASE - WHITE.png
1WK,CASE GAMING,KEYTECH,ROBIN CUBE BLACK,CASE GAMING - KEYTECH ROBIN CUBE BLACK,"₱1,450","₱1,400.00","₱1,624.00",0,/images/components/case gaming/KEYTECH ROBIN CUBE BLACK.png
1WK,CASE GAMING,KEYTECH,ROBIN CUBE WHITE,CASE GAMING - KEYTECH ROBIN CUBE WHITE,"₱1,500","₱1,450.00","₱1,680.00",0,/images/components/case gaming/KEYTECH ROBIN CUBE WHITE.png
1WK,CASE GAMING,KEYTECH,ROBIN QUAD GUNDAM (WHITE),CASE GAMING - KEYTECH ROBIN QUAD GUNDAM (WHITE),"₱1,380","₱1,350.00","₱1,545.60",2,/images/components/case gaming/KEYTECH ROBIN QUAD GUNDAM (WHITE).png
1WK,CASE GAMING,KEYTECH,ROBIN QUAD ONE PIECE (WHITE),CASE GAMING - KEYTECH ROBIN QUAD ONE PIECE (WHITE),"₱1,380","₱1,350.00","₱1,545.60",0,/images/components/case gaming/KEYTECH ROBIN QUAD ONE PIECE (WHITE).png
1WK,CASE GAMING,KEYTECH,ROBIN SE BLACK,CASE GAMING - KEYTECH ROBIN SE BLACK,"₱2,100","₱2,050.00","₱2,352.00",1,/images/components/case gaming/KEYTECH ROBIN SE BLACK.png
1WK,CASE GAMING,KEYTECH,ROBIN SE WHITE,CASE GAMING - KEYTECH ROBIN SE WHITE,"₱2,200","₱2,150.00","₱2,464.00",0,/images/components/case gaming/KEYTECH ROBIN SE WHITE.png
1WK,CASE GAMING,KEYTECH,T1000 - BLACK (case only),CASE GAMING - KEYTECH T1000 - BLACK (case only),"₱1,150","₱1,130.00","₱1,288.00",1,/images/components/case gaming/KEYTECH T1000 - BLACK (case only).png
1WK,CASE GAMING,KEYTECH,T1000 - WHITE (case only),CASE GAMING - KEYTECH T1000 - WHITE (case only),"₱1,250","₱1,230.00","₱1,400.00",0,/images/components/case gaming/KEYTECH T1000 - WHITE (case only).png
1WK,CASE GAMING,KEYTECH,T5000 BLACK,CASE GAMING - KEYTECH T5000 BLACK,"₱1,200","₱1,180.00","₱1,344.00",2,/images/components/case gaming/KEYTECH T5000 BLACK.png
1WK,CASE GAMING,KEYTECH,T5000 WHITE,CASE GAMING - KEYTECH T5000 WHITE,"₱1,250","₱1,230.00","₱1,400.00",3,/images/components/case gaming/KEYTECH T5000 WHITE.png
1WK,CASE GAMING,KEYTECH,T600 - WHITE,CASE GAMING - KEYTECH T600 - WHITE,"₱1,250","₱1,220.00","₱1,400.00",0,/images/components/case gaming/KEYTECH T600 - WHITE.png
1WK,CASE GAMING,KEYTECH,VISOR - BLACK (MESH),CASE GAMING - KEYTECH VISOR - BLACK (MESH),"₱1,350","₱1,320.00","₱1,512.00",1,/images/components/case gaming/KEYTECH VISOR - BLACK (MESH).png
1WK,CASE GAMING,KEYTECH,VISOR - WHITE (MESH),CASE GAMING - KEYTECH VISOR - WHITE (MESH),"₱1,400","₱1,370.00","₱1,568.00",0,/images/components/case gaming/KEYTECH VISOR - WHITE (MESH).png
1WK,CASE GAMING,MMA,AK99 - white,CASE GAMING - MMA AK99 - white,"₱2,500","₱2,450.00","₱2,800.00",0,/images/components/case gaming/MMA AK99 - white.png
1WK,CASE GAMING,MMA,SR89 BLACK,CASE GAMING - MMA SR89 BLACK,₱950,₱900.00,"₱1,064.00",0,/images/components/case gaming/MMA SR89 BLACK.png
1WK,CASE GAMING,MMA,SR89 WHITE,CASE GAMING - MMA SR89 WHITE,"₱1,050","₱1,000.00","₱1,176.00",5,/images/components/case gaming/MMA SR89 WHITE.png
1WK,CASE GAMING,NZXT,H5 FLOW - WHITE,CASE GAMING - NZXT H5 FLOW - WHITE,"₱6,100","₱6,070.00","₱6,832.00",0,/images/components/case gaming/NZXT H5 FLOW - WHITE.png
1WK,CASE GAMING,YGT,B708 - BLACK,CASE GAMING - YGT B708 - BLACK,"₱1,250","₱1,220.00","₱1,400.00",2,/images/components/case gaming/YGT B708 - BLACK.png
1WK,CASE GAMING,YGT,B708 - WHITE,CASE GAMING - YGT B708 - WHITE,"₱1,250","₱1,220.00","₱1,400.00",2,/images/components/case gaming/YGT B708 - WHITE.png
1WK,CASE GAMING,YGT,B709 - BLACK,CASE GAMING - YGT B709 - BLACK,"₱1,250","₱1,220.00","₱1,400.00",1,/images/components/case gaming/YGT B709 - BLACK.png
1WK,CASE GAMING,YGT,B709 - WHITE,CASE GAMING - YGT B709 - WHITE,"₱1,300","₱1,270.00","₱1,456.00",2,/images/components/case gaming/YGT B709 - WHITE.png
1WK,CASE GAMING,YGT,N195 BLACK,CASE GAMING - YGT N195 BLACK,₱950,₱930.00,"₱1,064.00",3,/images/components/case gaming/YGT N195 BLACK.png
1WK,CASE GAMING,YGT,N195 WHITE,CASE GAMING - YGT N195 WHITE,"₱1,050","₱1,030.00","₱1,176.00",4,/images/components/case gaming/YGT N195 WHITE.png
1WK,CASE GAMING,DARK FLASH,WD200 BLACK (WOOD EDITION),CASE GAMING - DARK FLASH WD200 BLACK (WOOD EDITION),"₱2,450","₱2,430.00","₱2,744.00",0,/images/components/case gaming/DARK FLASH WD200 BLACK (WOOD EDITION).png
1WK,CASE GAMING,DEEP COOL,CH260 BLACK,CASE GAMING - DEEP COOL CH260 BLACK,,-₱20.00,₱0.00,0,/images/components/case gaming/DEEP COOL CH260 BLACK.png
1WK,CASE GAMING,WJ COOLMAN,ROBIN CURVED MINI DGT (BLACK),CASE GAMING - WJ COOLMAN ROBIN CURVED MINI DGT (BLACK),"₱2,100","₱2,070.00","₱2,352.00",0,/images/components/case gaming/WJ COOLMAN ROBIN CURVED MINI DGT (BLACK).png
1WK,CASE GENERIC,INPLAY,INPLAY WIND 01 CASE,CASE GENERIC - INPLAY INPLAY WIND 01 CASE,₱600,₱580.00,₱672.00,2,/images/components/case generic/INPLAY INPLAY WIND 01 CASE.png
1WK,CASE GENERIC,INPLAY,LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS BLK,CASE GENERIC - INPLAY LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS BLK,₱560,₱550.00,₱627.20,0,/images/components/case generic/INPLAY LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS BLK.png
1WK,CASE GENERIC,INPLAY,LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS WHT,CASE GENERIC - INPLAY LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS WHT,₱600,₱590.00,₱672.00,1,/images/components/case generic/INPLAY LITE CASE - X220-B0 CASE ONLY WITH 2 RGB FANS WHT.png
1WK,CASE GENERIC,INPLAY,LITE CASE - X220-G250 CASE WITH 2 RGB FANS BUILT IN GP2508 PSU BLACK,CASE GENERIC - INPLAY LITE CASE - X220-G250 CASE WITH 2 RGB FANS BUILT IN GP2508 PSU BLACK,"₱1,100","₱1,000.00","₱1,232.00",1,/images/components/case generic/INPLAY LITE CASE - X220-G250 CASE WITH 2 RGB FANS BUILT IN GP2508 PSU BLACK.png
1WK,CASE GENERIC,KEYTECH,DARTH VADER with 2 fans - BLACK,CASE GENERIC - KEYTECH DARTH VADER with 2 fans - BLACK,"₱1,000",₱970.00,"₱1,120.00",4,/images/components/case generic/KEYTECH DARTH VADER with 2 fans - BLACK.png
1WK,CASE GENERIC,KEYTECH,K6 WITH PSU,CASE GENERIC - KEYTECH K6 WITH PSU,₱800,₱780.00,₱896.00,6,/images/components/case generic/KEYTECH K6 WITH PSU.png
1WK,CASE GENERIC,KEYTECH,STORM TROOPER with 2 fans - WHITE,CASE GENERIC - KEYTECH STORM TROOPER with 2 fans - WHITE,"₱1,050","₱1,030.00","₱1,176.00",3,/images/components/case generic/KEYTECH STORM TROOPER with 2 fans - WHITE.png
1WK,CASE GENERIC,KEYTECH,T100 CASE - BLACK,CASE GENERIC - KEYTECH T100 CASE - BLACK,₱700,₱680.00,₱784.00,3,/images/components/case generic/KEYTECH T100 CASE - BLACK.png
1WK,CASE GENERIC,KEYTECH,T100 CASE - WHITE,CASE GENERIC - KEYTECH T100 CASE - WHITE,₱700,₱680.00,₱784.00,0,/images/components/case generic/KEYTECH T100 CASE - WHITE.png
1WK,CASE GENERIC,KEYTECH,K7 WITH PSU,CASE GENERIC - KEYTECH K7 WITH PSU,₱800,₱780.00,₱896.00,0,/images/components/case generic/KEYTECH K7 WITH PSU.png
1WK,CASE GENERIC,MMA,MA 860 WHITE,CASE GENERIC - MMA MA 860 WHITE,₱680,₱670.00,₱761.60,0,/images/components/case generic/MMA MA 860 WHITE.png
1WK,CASE GENERIC,YGT,M2  - BLACK,CASE GENERIC - YGT M2  - BLACK,₱850,₱830.00,₱952.00,2,/images/components/case generic/YGT M2  - BLACK.png
1WK,CASE GENERIC,YGT,M2 - WHITE,CASE GENERIC - YGT M2 - WHITE,₱850,₱830.00,₱952.00,0,/images/components/case generic/YGT M2 - WHITE.png
1WK,CASE GENERIC,YGT,M3 - BLACK,CASE GENERIC - YGT M3 - BLACK,₱850,₱830.00,₱952.00,0,/images/components/case generic/YGT M3 - BLACK.png
1WK,CASE GENERIC,YGT,M3 - WHITE,CASE GENERIC - YGT M3 - WHITE,₱900,₱880.00,"₱1,008.00",0,/images/components/case generic/YGT M3 - WHITE.png
